Change component parameters: Designator = "D1" ("D1"); Footprint = "SMA_L4.3-W2.6-LS5.2-RD"; UniqueID = "\FUGQTLOH\CWCBUPVV" ("\FUGQTLOH\CWCBUPVV")
Change component parameters (AddParameter): Name = "Category"; Value = "Schottky Diodes & Rectifiers"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "JLCPCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://jlcpcb.com/partdetail/mdd_microdiode_semiconductor-SS34/C8678"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.lcsc.com/datasheet/lcsc_datasheet_2407101107_MDD-Microdiode-Semiconductor-SS34_C8678.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Average Rectified (Io)"; Value = "3 A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Reverse Leakage @ Vr"; Value = "500 mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diode Type"; Value = "Schottky Barrier Rectifier"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LSCS"; Value = "C8678"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "MDD(Microdiode Semiconductor)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Forward Surge Current (Ifsm)"; Value = "80 A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "- 55ºC ~ 125ºC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "SMA(DO-214AC)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "SS34"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - DC Reverse (Vr) (Max)"; Value = "40 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Forward (Vf) (Max) @ If"; Value = "550 mV"; VariantName = "[No Variations]"
