Change Component Comment : Designator=R6 Old Comment=0805W8F1000T5E New Comment=0805W8F330JT5E
Change Component Comment : Designator=D6 Old Comment=KT-0805W New Comment=KT-0805Y
Change component parameters: Designator = "D6" ("D6"); Footprint = "LED0805"; UniqueID = "\CCGOJIDA\WAXIKRRJ" ("\CCGOJIDA\WAXIKRRJ")
Change component parameters (AddParameter): Name = "Color"; Value = "Yellow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.lcsc.com/datasheet/lcsc_datasheet_1806151129_Hubei-KENTO-Elec-KT-0805Y_C2296.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Forward (If)"; Value = "20mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC"; Value = "C2296"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Hubei KENTO Elec"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Forward (Vf)"; Value = "2.1V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R6" ("R6"); Footprint = "RES0805"; UniqueID = "\CCGOJIDA\LGGSMHAY" ("\CCGOJIDA\LGGSMHAY")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.lcsc.com/datasheet/lcsc_datasheet_2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F330JT5E_C17634.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Geometry.Height"; Value = "0.95mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC"; Value = "C17634"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "UNI-ROYAL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "0805W8F330JT5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "33O"; VariantName = "[No Variations]"
