Change component parameters: Designator = "D4" ("D4"); Footprint = "LED0805"; UniqueID = "\CCGOJIDA\MVJSUDIS" ("\CCGOJIDA\MVJSUDIS")
Change component parameters (AddParameter): Name = "Color"; Value = "White"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.lcsc.com/datasheet/lcsc_datasheet_2305091500_Hubei-KENTO-Elec-KT-0805W_C34499.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "JLCPCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://jlcpcb.com/partdetail/Hubei_KentoElec-KT0805W/C34499"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Forward (If)"; Value = "25mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC"; Value = "C34499"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Hubei KENTO Elec"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Forward (Vf)"; Value = "2.8V"; VariantName = "[No Variations]"
Change component parameters: Designator = "U3" ("U3"); Footprint = "SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR"; UniqueID = "\FUGQTLOH\OWUQBLMT" ("\FUGQTLOH\OWUQBLMT")
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.lcsc.com/datasheet/lcsc_datasheet_2312191111_Holtek-Semicon-HT7533-1_C14289.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "JLCPCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://jlcpcb.com/partdetail/HoltekSemicon-HT75331/C14289"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Output"; Value = "100 mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Quiescent (Iq)"; Value = "8mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC"; Value = "C14289"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Holtek Semicon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "500 mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40~85 ºC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Type"; Value = "Fixed"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package/ Case"; Value = "SOT-89-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "HT7533-1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Dropout (Max)"; Value = "26.7 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Input (Max)"; Value = "30 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Output (Min/Fixed)"; Value = "3.3 V"; VariantName = "[No Variations]"
