Line #,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1,LCSC

"","0805B334K500NT","50V 330nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C1, C2","2","","","","","","","","C1740"
"","CC0805KRX7R9BB104","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 0.1uF X7R 0805 10%","C3, C4, C8, C9, C10, C11","6","","","","","","","","C49678"
"","GRM21BR61H106KE43L","50V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C5, C6","2","","","","","","","","C440198"
"","CL21B103KBANNNC","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 10nF X7R 0805 10%","C7","1","","","","","","","","C1710"
"","SS34","40V Independent Type 3A 550mV@3A SMA(DO-214AC) Schottky Diodes ROHS","D1","1","","","","","","","","C8678"
"","KT-0805G","Emerald 0805 LED Indication - Discrete ROHS","D2","1","","","","","","","","C2297"
"","KT-0805W","0805 LED Indication - Discrete ROHS","D4","1","","","","","","","","C34499"
"","KT-0805Y","Yellow 0805 LED Indication - Discrete ROHS","D6","1","","","","","","","","C2296"
"","AFA07-S10ECA-00","Drawer Type 10P Contact,Top Horizontal attachment 1mm SMD,P=1mm,Surface Mount,Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","J1","1","","","","","","","","C262737"
"","04FMS-1.0SP-TF(LF)(SN)","Drawer Type 4P Dual-sided contacts / top and bottom connection Horizontal attachment 1mm SMD,P=1mm,Surface Mount,Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","J2, J3","2","","","","","","","","C265033"
"","BATTERY","CONN BATTERY HORZ 2POS XT30","J4","1","","","","","","","",""
"","Male Header 4","Male Header 4","J5, J6","2","","","","","","","",""
"","Female Header 3","Female Header 3","J7, J8, J9, J10, J11, J12","6","","","","","","","",""
"","AO3400A","30V 5.7A 26.5mO@10V,5.7A 1.4W 1.5V@250uA 1PCSNChannel SOT-23-3L MOSFETs ROHS","Q1","1","","","","","","","","C20917"
"","0805W8F3301T5E","125mW Thick Film Resistors 150V ±100ppm/? ±1% 3.3kO 0805 Chip Resistor - Surface Mount ROHS","R1, R5, R15, R16, R17, R18","6","","","","","","","","C26010"
"","0805W8F1002T5E","125mW Thick Film Resistors 150V ±100ppm/? ±1% 10kO 0805 Chip Resistor - Surface Mount ROHS","R2, R3","2","","","","","","","","C17414"
"","0805W8F6800T5E","125mW Thick Film Resistors 150V ±100ppm/? ±1% 680O 0805 Chip Resistor - Surface Mount ROHS","R4","1","","","","","","","","C17798"
"","0805W8F330JT5E","125mW Thick Film Resistors 150V ±1% ±200ppm/? 33O 0805 Chip Resistor - Surface Mount ROHS","R6","1","","","","","","","","C17634"
"","0805W8F1000T5E","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHS","R7","1","","","","","","","","C17408"
"","0805W8F4701T5E","125mW Thick Film Resistors 150V ±100ppm/? ±1% 4.7kO 0805 Chip Resistor - Surface Mount ROHS","R13, R14, R19, R20, R21, R22","6","","","","","","","","C17673"
"","SS12D10G4 071","","SW1","1","","","","","","","","C2887259"
"","LM7805CS/TR","62dB@(120Hz) 1.5A Fixed 5V Positive electrode 35V TO-263-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","U1, U2","2","","","","","","","","C725350"
"","HT7533-1","100mA Fixed 3.3V Positive electrode 30V SOT-89-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","U3","1","","","","","","","","C14289"
"","ESP32-DEVKITC-32U","ESP32-WROOM-32UE series Transceiver; 802.11 b/g/n (Wi-Fi, WiFi, WLAN), Bluetooth® Smart Ready 4.x Dual Mode Evaluation Board","U4","1","","","","","","","",""
"","MPU-6500","IMUs - Inertial Measurement Units 6-Axis MEMS MotionTracking  Device with DMP","U5","1","","","","","","","","C50278"
