Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\TFG\Body\Project Outputs for Body\Pick Place for Body.csv

========================================================================================================================
File Design Information:

Date:       15/10/24
Time:       08:59
Revision:   864b2d1512004e97c5ac1b8bf8668ec708024da1
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","LCSC"
"C13","CL21A226MAQNNNE","TopLayer","CAP0805","658.505","515.000","0","25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C45783"
"C12","CL21A226MAQNNNE","TopLayer","CAP0805","658.505","1300.000","0","25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C45783"
"U4","ESP32-DEVKITC-32U","TopLayer","MODULE_ESP32-DEVKITC-32U","984.252","1182.177","0","ESP32-WROOM-32UE series Transceiver; 802.11 b/g/n (Wi-Fi, WiFi, WLAN), Bluetooth® Smart Ready 4.x Dual Mode Evaluation Board",""
"U5","MPU-6500","TopLayer","QFN-24_L3.0-W3.0-H0.9","982.757","1891.232","180","IMUs - Inertial Measurement Units 6-Axis MEMS MotionTracking  Device with DMP","C50278"
"U3","HT7533-1","TopLayer","SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR","1642.560","2339.863","270","100mA Fixed 3.3V Positive electrode 30V SOT-89-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","C14289"
"U2","LM2940S-5.0/TR","TopLayer","TO-263-3_L8.6-W10.2-P2.54-LS14.4-BR","998.505","471.470","270","1A 60dB@(120Hz) Fixed 5V Positive electrode 26V TO-263-3L Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","C434496"
"U1","LM2940S-5.0/TR","TopLayer","TO-263-3_L8.6-W10.2-P2.54-LS14.4-BR","983.505","1316.470","270","1A 60dB@(120Hz) Fixed 5V Positive electrode 26V TO-263-3L Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","C434496"
"SW1","SS12D10G4 071","TopLayer","SW-TH_SHOU-HAN_SS12D10G4","588.505","2651.468","0","","C2887259"
"R22","0805W8F4701T5E","TopLayer","RES0805","343.505","1246.468","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 4.7kO 0805 Chip Resistor - Surface Mount ROHS","C17673"
"R21","0805W8F4701T5E","TopLayer","RES0805","343.505","1066.468","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 4.7kO 0805 Chip Resistor - Surface Mount ROHS","C17673"
"R20","0805W8F4701T5E","TopLayer","RES0805","1623.505","1246.468","90","125mW Thick Film Resistors 150V ±100ppm/? ±1% 4.7kO 0805 Chip Resistor - Surface Mount ROHS","C17673"
"R19","0805W8F4701T5E","TopLayer","RES0805","1623.505","1066.468","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 4.7kO 0805 Chip Resistor - Surface Mount ROHS","C17673"
"R18","0805W8F3301T5E","TopLayer","RES0805","243.505","1246.468","90","125mW Thick Film Resistors 150V ±100ppm/? ±1% 3.3kO 0805 Chip Resistor - Surface Mount ROHS","C26010"
"R17","0805W8F3301T5E","TopLayer","RES0805","243.505","1066.468","90","125mW Thick Film Resistors 150V ±100ppm/? ±1% 3.3kO 0805 Chip Resistor - Surface Mount ROHS","C26010"
"R16","0805W8F3301T5E","TopLayer","RES0805","1723.505","1246.468","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 3.3kO 0805 Chip Resistor - Surface Mount ROHS","C26010"
"R15","0805W8F3301T5E","TopLayer","RES0805","1723.505","1066.468","90","125mW Thick Film Resistors 150V ±100ppm/? ±1% 3.3kO 0805 Chip Resistor - Surface Mount ROHS","C26010"
"R14","0805W8F4701T5E","TopLayer","RES0805","1368.505","1841.468","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 4.7kO 0805 Chip Resistor - Surface Mount ROHS","C17673"
"R13","0805W8F4701T5E","TopLayer","RES0805","1368.505","1621.468","90","125mW Thick Film Resistors 150V ±100ppm/? ±1% 4.7kO 0805 Chip Resistor - Surface Mount ROHS","C17673"
"R7","0805W8F1000T5E","TopLayer","RES0805","1808.505","1531.468","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHS","C17408"
"R6","0805W8F330JT5E","TopLayer","RES0805","1808.505","1950.838","270","125mW Thick Film Resistors 150V ±1% ±200ppm/? 33O 0805 Chip Resistor - Surface Mount ROHS","C17634"
"R5","0805W8F3301T5E","TopLayer","RES0805","493.505","2256.468","0","125mW Thick Film Resistors 150V ±100ppm/? ±1% 3.3kO 0805 Chip Resistor - Surface Mount ROHS","C26010"
"R4","0805W8F6800T5E","TopLayer","RES0805","493.505","2371.468","0","125mW Thick Film Resistors 150V ±100ppm/? ±1% 680O 0805 Chip Resistor - Surface Mount ROHS","C17798"
"R3","0805W8F1002T5E","TopLayer","RES0805","648.505","2256.468","0","125mW Thick Film Resistors 150V ±100ppm/? ±1% 10kO 0805 Chip Resistor - Surface Mount ROHS","C17414"
"R2","0805W8F1002T5E","TopLayer","RES0805","1473.505","3021.468","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 10kO 0805 Chip Resistor - Surface Mount ROHS","C17414"
"R1","0805W8F3301T5E","TopLayer","RES0805","1378.505","3021.468","90","125mW Thick Film Resistors 150V ±100ppm/? ±1% 3.3kO 0805 Chip Resistor - Surface Mount ROHS","C26010"
"Q1","AO3400A","TopLayer","SOT-23","1428.505","3201.468","90","30V 5.7A 26.5mO@10V,5.7A 1.4W 1.5V@250uA 1PCSNChannel SOT-23-3L MOSFETs ROHS","C20917"
"J12","Female Header 3","TopLayer","FEMALE_HEADER_3","195.276","472.441","180","Female Header 3",""
"J11","Female Header 3","TopLayer","FEMALE_HEADER_3","1773.228","610.236","0","Female Header 3",""
"J10","Female Header 3","TopLayer","FEMALE_HEADER_3","195.276","610.236","180","Female Header 3",""
"J9","Female Header 3","TopLayer","FEMALE_HEADER_3","1773.228","472.441","0","Female Header 3",""
"J8","Female Header 3","TopLayer","FEMALE_HEADER_3","195.276","748.032","180","Female Header 3",""
"J7","Female Header 3","TopLayer","FEMALE_HEADER_3","1773.228","748.032","0","Female Header 3",""
"J6","Male Header 4","TopLayer","MALE_HEADER_4","128.426","1056.980","90","Male Header 4",""
"J5","Male Header 4","TopLayer","MALE_HEADER_4","1837.088","1056.980","90","Male Header 4",""
"J4","BATTERY","TopLayer","XT30","1206.930","2726.468","0","CONN BATTERY HORZ 2POS XT30",""
"J3","04FMS-1.0SP-TF(LF)(SN)","TopLayer","FPC-SMD-P1.00-4P_JST","1700.798","3188.964","90","Drawer Type 4P Dual-sided contacts / top and bottom connection Horizontal attachment 1mm SMD,P=1mm,Surface Mount,Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","C265033"
"J2","04FMS-1.0SP-TF(LF)(SN)","TopLayer","FPC-SMD-P1.00-4P_JST","267.705","3188.988","270","Drawer Type 4P Dual-sided contacts / top and bottom connection Horizontal attachment 1mm SMD,P=1mm,Surface Mount,Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","C265033"
"J1","AFA07-S10ECA-00","TopLayer","FPC-SMD-P1.00-10P_LCS-SJ-H2.5","984.252","3154.268","0","Drawer Type 10P Contact,Top Horizontal attachment 1mm SMD,P=1mm,Surface Mount,Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","C262737"
"D6","KT-0805Y","TopLayer","LED0805","1658.505","1531.468","270","Yellow 0805 LED Indication - Discrete ROHS","C2296"
"D4","KT-0805W","TopLayer","LED0805","1658.505","1951.468","270","0805 LED Indication - Discrete ROHS","C34499"
"D2","KT-0805G","TopLayer","LED0805","653.505","2371.468","0","Emerald 0805 LED Indication - Discrete ROHS","C2297"
"D1","SS34","TopLayer","SMA_L4.3-W2.6-LS5.2-RD","1018.505","2456.468","0","40V Independent Type 3A 550mV@3A SMA(DO-214AC) Schottky Diodes ROHS","C8678"
"C11","CC0805KRX7R9BB104","TopLayer","CAP0805","243.505","905.512","270","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 0.1uF X7R 0805 10%","C49678"
"C10","CC0805KRX7R9BB104","TopLayer","CAP0805","1723.505","905.512","270","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 0.1uF X7R 0805 10%","C49678"
"C9","CC0805KRX7R9BB104","TopLayer","CAP0805","908.505","1761.468","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 0.1uF X7R 0805 10%","C49678"
"C8","CC0805KRX7R9BB104","TopLayer","CAP0805","833.505","1861.468","0","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 0.1uF X7R 0805 10%","C49678"
"C7","CL21B103KBANNNC","TopLayer","CAP0805","833.505","1936.468","180","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 10nF X7R 0805 10%","C1710"
"C6","GRM21BR61H106KE43L","TopLayer","CAP0805","1809.529","2259.972","90","50V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C440198"
"C5","GRM21BR61H106KE43L","TopLayer","CAP0805","1474.883","2259.955","90","50V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C440198"
"C4","CL21A226MAQNNNE","TopLayer","CAP0805","1278.033","406.468","180","25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C45783"
"C3","CL21A226MAQNNNE","TopLayer","CAP0805","1278.033","1191.468","180","25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C45783"
"C2","CL21A226MAQNNNE","TopLayer","CAP0805","658.505","406.468","0","25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C45783"
"C1","CL21A226MAQNNNE","TopLayer","CAP0805","658.505","1191.468","0","25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C45783"
