Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\TFG\Head\Head\Project Outputs for Head\Pick Place for Head.csv

========================================================================================================================
File Design Information:

Date:       15/10/24
Time:       09:12
Revision:   864b2d1512004e97c5ac1b8bf8668ec708024da1
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","LCSC"
"R12","0805W8F3301T5E","TopLayer","RES0805","21.5900","9.6360","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 3.3kO 0805 Chip Resistor - Surface Mount ROHS","C26010"
"R11","0805W8F1000T5E","TopLayer","RES0805","8.0772","8.1534","180","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHS","C17408"
"R10","0805W8F3301T5E","TopLayer","RES0805","24.2026","9.6360","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 3.3kO 0805 Chip Resistor - Surface Mount ROHS","C26010"
"R9","0805W8F1000T5E","TopLayer","RES0805","14.2240","9.3980","180","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHS","C17408"
"R8","0805W8F3301T5E","TopLayer","RES0805","29.4277","10.3980","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 3.3kO 0805 Chip Resistor - Surface Mount ROHS","C26010"
"R7","0805W8F1000T5E","TopLayer","RES0805","26.8151","10.3980","90","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHS","C17408"
"R6","0805W8F3301T5E","TopLayer","RES0805","34.6529","10.3980","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 3.3kO 0805 Chip Resistor - Surface Mount ROHS","C26010"
"R5","0805W8F1000T5E","TopLayer","RES0805","32.0403","10.3980","90","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHS","C17408"
"R4","0805W8F3301T5E","TopLayer","RES0805","37.2654","9.6360","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 3.3kO 0805 Chip Resistor - Surface Mount ROHS","C26010"
"R3","0805W8F1000T5E","TopLayer","RES0805","47.2186","8.9916","180","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHS","C17408"
"R2","0805W8F3301T5E","TopLayer","RES0805","39.8780","9.6360","270","125mW Thick Film Resistors 150V ±100ppm/? ±1% 3.3kO 0805 Chip Resistor - Surface Mount ROHS","C26010"
"R1","0805W8F1000T5E","TopLayer","RES0805","53.1876","8.1534","180","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHS","C17408"
"J1","AFA07-S10ECA-00","TopLayer","FPC-SMD-P1.00-10P_LCS-SJ-H2.5","30.7657","5.3899","180","Drawer Type 10P Contact,Top Horizontal attachment 1mm SMD,P=1mm,Surface Mount,Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","C262737"
"IC11","QRE1113GR","TopLayer","SOIC4-_HEAD","7.6585","13.2431","193.3","IC IR-SENSOR",""
"IC12","QRE1113GR","TopLayer","SOIC4-_HEAD","3.8300","12.2350","196","IC IR-SENSOR",""
"IC9","QRE1113GR","TopLayer","SOIC4-_HEAD","17.6000","15.1100","187.6","IC IR-SENSOR",""
"IC10","QRE1113GR","TopLayer","SOIC4-_HEAD","13.6500","14.5000","190.2","IC IR-SENSOR",""
"IC7","QRE1113GR","TopLayer","SOIC4-_HEAD","27.6500","15.9400","181.7","IC IR-SENSOR",""
"IC8","QRE1113GR","TopLayer","SOIC4-_HEAD","23.6300","15.7400","184.2","IC IR-SENSOR",""
"IC5","QRE1113GR","TopLayer","SOIC4-_HEAD","37.7600","15.7300","175.7","IC IR-SENSOR",""
"IC6","QRE1113GR","TopLayer","SOIC4-_HEAD","33.7400","15.9400","178.3","IC IR-SENSOR",""
"IC3","QRE1113GR","TopLayer","SOIC4-_HEAD","47.7400","14.5000","169.9","IC IR-SENSOR",""
"IC4","QRE1113GR","TopLayer","SOIC4-_HEAD","43.7700","15.1100","172.4","IC IR-SENSOR",""
"IC1","QRE1113GR","TopLayer","SOIC4-_HEAD","57.5700","12.2350","164","IC IR-SENSOR",""
"IC2","QRE1113GR","TopLayer","SOIC4-_HEAD","53.7000","13.2430","166.7","IC IR-SENSOR",""
"C2","CC0805KRX7R9BB104","TopLayer","CAP0805","18.5420","8.1280","270","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 0.1uF X7R 0805 10%","C49678"
"C1","CC0805KRX7R9BB104","TopLayer","CAP0805","42.9006","8.1280","270","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 0.1uF X7R 0805 10%","C49678"
